MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:31:400,-5.7,26.61,-274.11,0.1,-0.02
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:31:500,-11.09,-4.13,43.33,0.09,0.25
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:31:600,15.44,12.14,-64.08,0.19,0.23
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:31:700,10.62,8.7,-41.56,0.21,0.25

CC:7B:5C:AF:BD:F4,2025:02:27 14:08:35:900,-1.99,-5.61,41.92,0.13,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:36:000,-7.68,-34.47,227.8,0.15,0.03
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:36:100,7.82,1.37,-51.21,0.03,0.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:36:200,9.38,7.9,-68.23,0.12,0.14
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:36:300,0.59,2.35,-16.92,0.14,0.03
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:36:400,-0.77,-0.9,8.87,0.1,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:36:500,-2.51,-1.99,20.72,0.1,0.12
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:36:600,-0.58,-0.69,5.79,0.12,0.1
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:36:700,-0.48,-0.64,5.09,0.13,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:36:800,3.31,3.38,-32.67,0.1,0.1
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:36:900,13.42,0.76,-62.97,0.01,0.21
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:37:000,-17.09,-2.76,46.89,0.06,0.35
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:37:100,-13.02,0.03,28.81,-0.0,0.42
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:37:200,-33.62,-6.67,150.1,0.04,0.22
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:37:300,-74.6,-0.5,320.97,0.0,0.23
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:37:400,-595.53,166.0,420.55,-0.38,0.92
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:37:500,-993.14,248.13,1219.16,-0.2,0.67
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:37:600,473.01,103.76,275.5,-0.36,-1.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:37:700,-226.94,147.2,60.18,1.96,-0.96
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:37:800,4.25,4.66,-3.65,0.91,0.62

CC:7B:5C:AF:BD:F4,2025:02:27 14:08:42:100,0.23,1.16,-6.65,0.17,0.03
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:42:200,0.55,3.73,-20.54,0.18,0.03
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:42:300,-0.01,-0.14,0.74,0.18,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:42:400,0.21,1.18,-6.5,0.18,0.03
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:42:500,-0.74,-2.82,15.11,0.18,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:42:600,4.32,7.76,-45.4,0.17,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:42:700,3.23,3.23,-23.27,0.14,0.14
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:42:800,-1.1,-3.07,16.65,0.18,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:42:900,9.2,-12.53,62.54,0.2,-0.14
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:43:000,49.73,-26.74,74.0,0.35,-0.56
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:43:100,17.25,-16.53,53.87,0.3,-0.3
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:43:200,-3.14,-10.43,62.06,0.17,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:43:300,-37.86,-4.88,142.19,0.03,0.26
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:43:400,-27.86,-1.64,79.92,0.02,0.34
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:43:500,2.01,0.02,-7.72,0.0,0.25
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:43:600,-43.45,-15.33,63.89,0.24,0.58
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:43:700,-108.82,101.62,295.16,-0.33,0.34
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:43:800,-361.81,-273.46,1436.4,0.19,0.24
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:43:900,132.31,-47.62,171.93,0.27,-0.64
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:44:000,255.48,-53.92,226.21,0.23,-0.83

CC:7B:5C:AF:BD:F4,2025:02:27 14:08:48:000,-0.11,1.28,-7.81,0.16,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:48:100,-0.49,3.41,-22.69,0.15,-0.02
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:48:200,-0.18,1.97,-12.34,0.16,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:48:300,-0.04,0.76,-4.62,0.16,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:48:400,-0.06,1.83,-11.45,0.16,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:48:500,0.01,1.66,-10.33,0.16,0.0
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:48:600,0.04,-0.55,3.61,0.15,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:48:700,-0.04,1.24,-7.86,0.16,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:48:800,0.13,2.83,-18.69,0.15,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:48:900,-2.94,-1.15,19.23,0.06,0.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:49:000,-519.0,163.23,678.04,-0.24,0.64
